question_id,category
28336,Politics & Governance
28335,Economics & Business
28334,Security & Defense
28306,Economics & Business
28305,Economics & Business
28304,Economics & Business
28303,Economics & Business
28302,Economics & Business
28301,Science & Tech
28300,Politics & Governance
28292,Economics & Business
28291,Economics & Business
28290,Science & Tech
28245,Economics & Business
28244,Healthcare & Biology
28243,Economics & Business
28210,Science & Tech
28209,Science & Tech
28208,Science & Tech
28207,Science & Tech
28206,Science & Tech
28205,Economics & Business
28204,Sports
28156,Healthcare & Biology
28155,Economics & Business
28154,Politics & Governance
28070,Sports
28069,Science & Tech
28046,Economics & Business
28045,Politics & Governance
28044,Politics & Governance
28043,Politics & Governance
28042,Politics & Governance
28041,Environment & Energy
28040,Environment & Energy
28039,Environment & Energy
28038,Environment & Energy
28037,Environment & Energy
28024,Economics & Business
28022,Science & Tech
28021,Sports
28020,Science & Tech
28008,Economics & Business
28007,Economics & Business
28006,Politics & Governance
27969,Arts & Recreation
27968,Arts & Recreation
27967,Science & Tech
27966,Economics & Business
27935,Economics & Business
27934,Economics & Business
27933,Economics & Business
27932,Economics & Business
27920,Politics & Governance
27919,Politics & Governance
27918,Science & Tech
27914,Arts & Recreation
27913,Arts & Recreation
27912,Economics & Business
27911,Economics & Business
27897,Politics & Governance
27895,Politics & Governance
27887,Arts & Recreation
27886,Arts & Recreation
27885,Economics & Business
27877,Science & Tech
27876,Politics & Governance
27804,Politics & Governance
27791,Politics & Governance
27790,Science & Tech
27789,Economics & Business
27788,Economics & Business
27749,Sports
27748,Sports
27747,Sports
27746,Sports
27745,Politics & Governance
27733,Politics & Governance
27732,Security & Defense
27723,Arts & Recreation
27722,Economics & Business
27721,Economics & Business
27720,Economics & Business
27640,Science & Tech
27639,Economics & Business
27638,Economics & Business
27637,Arts & Recreation
27610,Security & Defense
27609,Security & Defense
27608,Security & Defense
27607,Security & Defense
27606,Security & Defense
27605,Arts & Recreation
27604,Healthcare & Biology
27603,Healthcare & Biology
27602,Healthcare & Biology
27584,Healthcare & Biology
27583,Healthcare & Biology
27582,Healthcare & Biology
27581,Science & Tech
27576,Politics & Governance
27548,Healthcare & Biology
27547,Healthcare & Biology
27546,Healthcare & Biology
27545,Healthcare & Biology
27539,Security & Defense
27538,Security & Defense
27524,Politics & Governance
27523,Politics & Governance
27522,Sports
27521,Science & Tech
27515,Science & Tech
27493,Economics & Business
27492,Economics & Business
27491,Economics & Business
27490,Economics & Business
27489,Economics & Business
27488,Economics & Business
27487,Economics & Business
27486,Economics & Business
27485,Economics & Business
27484,Economics & Business
27447,Politics & Governance
27283,Science & Tech
27282,Politics & Governance
27281,Economics & Business
27279,Healthcare & Biology
27278,Healthcare & Biology
27277,Healthcare & Biology
27263,Science & Tech
27262,Science & Tech
27261,Science & Tech
27260,Economics & Business
27259,Economics & Business
27258,Economics & Business
27248,Healthcare & Biology
27241,Politics & Governance
27240,Politics & Governance
27239,Politics & Governance
27238,Economics & Business
27223,Politics & Governance
27222,Politics & Governance
27221,Politics & Governance
27220,Politics & Governance
27219,Politics & Governance
27200,Healthcare & Biology
27161,Sports
27160,Politics & Governance
27159,Healthcare & Biology
27158,Politics & Governance
27157,Security & Defense
27141,Security & Defense
27140,Economics & Business
27138,Economics & Business
27137,Arts & Recreation
27136,Politics & Governance
27135,Economics & Business
27134,Economics & Business
27133,Politics & Governance
27132,Security & Defense
27089,Science & Tech
27088,Politics & Governance
27087,Economics & Business
27086,Economics & Business
27085,Politics & Governance
27039,Politics & Governance
27022,Science & Tech
27021,Sports
27020,Economics & Business
27019,Politics & Governance
27018,Education & Research
27017,Politics & Governance
26986,Security & Defense
26985,Security & Defense
26984,Security & Defense
26983,Politics & Governance
26982,Politics & Governance
26981,Politics & Governance
26980,Environment & Energy
26979,Environment & Energy
26978,Environment & Energy
26977,Environment & Energy
26976,Science & Tech
26975,Economics & Business
26959,Politics & Governance
26958,Politics & Governance
26957,Politics & Governance
26918,Politics & Governance
26916,Politics & Governance
26915,Politics & Governance
26914,Politics & Governance
26913,Politics & Governance
26844,Politics & Governance
26842,Science & Tech
26841,Economics & Business
26840,Economics & Business
26839,Science & Tech
26838,Economics & Business
26837,Arts & Recreation
26821,Politics & Governance
26820,Politics & Governance
26819,Politics & Governance
26818,Politics & Governance
26817,Politics & Governance
26816,Politics & Governance
26781,Politics & Governance
26780,Science & Tech
26779,Environment & Energy
26778,Environment & Energy
26777,Environment & Energy
26776,Environment & Energy
26775,Arts & Recreation
26774,Arts & Recreation
26773,Arts & Recreation
26772,Arts & Recreation
26771,Arts & Recreation
26706,Economics & Business
26705,Science & Tech
26704,Economics & Business
26703,Politics & Governance
26702,Science & Tech
26701,Science & Tech
26700,Science & Tech
26683,Sports
26671,Politics & Governance
26670,Politics & Governance
26669,Politics & Governance
26668,Politics & Governance
26667,Science & Tech
26666,Economics & Business
26665,Science & Tech
26646,Sports
26645,Politics & Governance
26644,Education & Research
26643,Education & Research
26642,Education & Research
26641,Politics & Governance
26640,Politics & Governance
26639,Politics & Governance
26638,Environment & Energy
26577,Healthcare & Biology
26576,Healthcare & Biology
26575,Healthcare & Biology
26573,Arts & Recreation
26572,Arts & Recreation
26571,Arts & Recreation
26570,Arts & Recreation
26569,Environment & Energy
26568,Politics & Governance
26555,Sports
26554,Science & Tech
26553,Economics & Business
26552,Healthcare & Biology
26551,Economics & Business
26408,Economics & Business
26407,Politics & Governance
26406,Healthcare & Biology
26405,Environment & Energy
26404,Politics & Governance
26392,Science & Tech
26391,Politics & Governance
26390,Economics & Business
26389,Economics & Business
26388,Sports
26387,Economics & Business
26307,Economics & Business
26306,Economics & Business
26305,Sports
26304,Politics & Governance
26303,Security & Defense
26302,Politics and Governance
26236,Sports
26235,Economics & Business
26234,Healthcare & Biology
26233,Arts & Recreation
26232,Politics & Governance
26216,Economics & Business
26215,Security & Defense
26214,Healthcare & Biology
26213,Healthcare & Biology
26212,Healthcare & Biology
26211,Sports
26196,Healthcare & Biology
26195,Healthcare & Biology
26194,Healthcare & Biology
26193,Politics & Governance
26192,Security & Defense
26191,Politics & Governance
26189,Sports
26159,Science & Tech
26158,Science & Tech
26157,Science & Tech
26140,Politics & Governance
26139,Sports
26138,Economics & Business
26134,Science & Tech
26133,Politics & Governance
26102,Science & Tech
26101,Politics & Governance
26100,Politics & Governance
26099,Security & Defense
26098,Economics & Business
26097,Economics & Business
26096,Economics & Business
26095,Sports
26024,Sports
26023,Politics & Governance
26022,Politics & Governance
26021,Sports
26020,Economics & Business
26019,Science & Tech
26018,Science & Tech
26017,Science & Tech
26006,Politics & Governance
26005,Politics & Governance
26004,Politics & Governance
25960,Healthcare & Biology
25959,Sports
25958,Sports
25957,Sports
25956,Politics & Governance
25955,Security & Defense
25954,Politics & Governance
25953,Politics & Governance
25952,Politics & Governance
25936,Security & Defense
